"행정구역(시군구)별(1)",행정구역(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"강원",동해시,29672,1092166,29604,1082083,26651,557031,19548,44973
"강원",삼척시,19399,700592,19366,694503,17214,362940,12593,29405
"강원",속초시,27811,891453,27766,886942,24726,434634,17372,32049
"강원",양구군,7187,253425,7177,252156,6549,125210,4979,8632
"강원",양양군,7911,250832,7755,249480,6898,124516,4936,9192
"강원",영월군,10614,374101,10596,371707,9458,192826,6951,15474
"강원",원주시,131668,4617536,130988,4593053,116573,2356667,82886,193333
"강원",인제군,11225,401452,11153,399240,10105,200102,7912,14514
"강원",정선군,10747,354902,10717,351130,9403,174468,6759,11656
"강원",철원군,13221,458494,13176,456058,11962,224252,8992,14976
"강원",춘천시,103358,3676298,102747,3656930,91784,1879768,65615,154780
"강원",태백시,14090,509222,14072,501110,12558,258319,9084,19412
"강원",평창군,10939,343227,10774,341906,9254,174184,6425,15486
"강원",홍천군,19941,637117,19731,633407,17381,316508,12424,23630
"강원",화천군,8536,297547,8372,296039,7573,147806,5965,10137
"강원",횡성군,12816,393410,12778,391810,11223,194693,7830,14212
"대전",소계,551733,20606066,549168,20471407,487802,10953125,339731,1044106
"대전",대덕구,65908,2097873,65549,2087446,58057,1039256,39375,74951
"대전",동구,76205,2321105,75803,2308986,66214,1115888,43878,76030
"대전",서구,182982,6720671,182257,6681756,161665,3528990,111681,324373
"대전",유성구,145761,6782051,144948,6722223,131218,3910732,96999,455115
"대전",중구,80877,2684366,80611,2670996,70648,1358258,47798,113637
"충북",소계,611921,21990307,608356,21879004,546814,11488453,399546,959188
"충북",괴산군,10209,311463,9803,309600,8659,158146,6170,11713
"충북",단양군,8127,257085,7957,255894,7037,128215,5060,9050
"충북",보은군,8109,257613,8038,256543,7249,129526,5131,9577
"충북",영동군,12134,383020,11844,380790,10371,191186,7237,13834
"충북",옥천군,14860,459619,14650,457120,12959,226532,8998,15657
"충북",음성군,41090,1313447,40964,1305685,37333,670979,27918,43461
"충북",제천시,42842,1437308,42667,1430591,38152,723428,26920,54097
"충북",증평군,14476,483791,14345,480324,12948,240133,9548,16027
"충북",진천군,39777,1344424,39371,1335931,35954,684857,26845,46025
"충북",청주시,345730,13224584,344400,13161400,310007,7075221,228438,647227
"충북",충주시,74567,2517951,74317,2505126,66145,1260230,47281,92519
"충남",소계,773718,28969866,767234,28840453,689539,15477652,504970,1379197
"충남",계룡시,16072,723931,15994,716205,14487,393961,11082,38075
"충남",공주시,33089,1060284,32873,1055135,28689,531505,19988,38937
"충남",금산군,13103,408289,13026,406665,11580,203953,7937,14418
"충남",논산시,34385,1070466,33973,1062987,29930,525775,20746,35458
"충남",당진시,62375,2362939,61773,2354859,56387,1245619,42154,99178
"충남",보령시,31258,1043664,30708,1037148,27312,533200,19235,42289
"충남",부여군,16463,491410,15759,488693,13774,244373,9394,17150
"충남",서산시,62732,2579300,62324,2568497,56586,1421196,42981,136635
"충남",서천군,12808,413858,12760,411943,11140,210670,7705,15692
"충남",아산시,135691,5460335,135223,5440048,122385,3007405,91508,290095
"충남",예산군,23324,717268,22715,713364,20312,358233,14344,23603
"충남",천안시,276582,10743558,275200,10699680,247967,5832542,182658,552235
"충남",청양군,7781,244613,7632,243571,6652,123697,4753,9047
"충남",태안군,15702,528886,15284,526138,13594,276218,9702,23373
"충남",홍성군,32353,1121066,31990,1115519,28744,569307,20783,43011
"세종",소계,155557,7077618,155189,7024024,140947,3859243,108765,378736
"광주",소계,533009,19257131,530302,19158764,472008,10050464,325845,947574
"광주",광산구,159796,5726068,158821,5695829,142375,2936113,98367,253437
"광주",남구,74567,2836085,74202,2821067,66232,1517779,45849,159131
"광주",동구,36542,1358721,36333,1351308,32125,723050,22823,71682
"광주",북구,153001,5223481,152362,5197163,135473,2651000,92035,226370
"광주",서구,109103,4112775,108584,4093397,95803,2222523,66771,236955
"전북",소계,580604,19821605,576086,19721573,512097,10098801,348984,809538
"전북",고창군,12175,393646,12104,391427,10801,196265,7228,14516
"전북",군산시,88289,3058065,87551,3041785,78151,1562170,54401,122263
"전북",김제시,22550,657944,22309,654460,19360,319796,12918,20237
"전북",남원시,21872,668099,21444,664746,19053,325958,12439,22684
"전북",무주군,6071,188328,6036,187496,5190,91799,3470,6342
"전북",부안군,12791,367207,12439,365236,10849,174426,6973,10960
"전북",순창군,6493,213070,6466,212077,5801,105553,3895,7413
"전북",완주군,29138,976449,28681,971690,25602,493317,17255,36654
"전북",익산시,92943,3017930,91883,2998438,81677,1499834,54313,111702
"전북",임실군,6637,211838,6591,210665,5805,104832,3916,7310
"전북",장수군,5231,162339,5217,161749,4561,79448,3013,5225
"전북",전주시,239207,8764483,238569,8726827,212890,4586868,147679,406816
"전북",정읍시,30892,947077,30615,940722,26952,461376,17897,30648
"전북",진안군,6315,195131,6181,194256,5405,97158,3587,6769
"전남",소계,555960,20057729,550900,19939347,492024,10480405,343898,923616
"전남",강진군,8242,262327,8219,261341,7196,130195,4888,9047
"전남",고흥군,12401,378642,12282,376337,10807,184903,7194,12696
"전남",곡성군,7001,235925,6925,234832,6154,119965,4252,9475
"전남",광양시,53552,2277933,53306,2263423,48167,1262977,35976,125613
"전남",구례군,6427,196363,6303,195458,5475,96856,3608,6882
"전남",나주시,40252,1397315,39613,1388062,35282,709556,24626,55741
"전남",담양군,13676,456484,13426,453095,11932,235931,8381,19726
"전남",목포시,69092,2190236,68883,2174208,60756,1055173,39725,75439
"전남",무안군,29323,1099846,28974,1093081,26202,557609,18601,44188
"전남",보성군,8623,263930,8388,262650,7389,130932,4818,9600
"전남",순천시,96218,3729809,95520,3710224,85829,1988867,61274,186137
"전남",신안군,7561,255583,7436,254087,6660,128230,4698,9158
"전남",여수시,90887,3724350,90693,3705648,81574,2083025,58680,227439
"전남",영광군,14096,502173,13735,498935,12368,265865,8692,23754
"전남",영암군,18026,544657,17892,541601,15712,271005,10862,17376
"전남",완도군,10222,319273,10185,316080,9067,157044,6001,10920
"전남",장성군,12912,435070,12760,432401,11473,221001,8176,16876
"전남",장흥군,8643,280235,8614,278904,7704,139371,5122,10040
"전남",진도군,6180,199069,6164,198356,5479,97792,3752,6542
"전남",함평군,7690,240614,7556,239310,6677,120957,4360,9393
"전남",해남군,15594,467739,15100,465366,13254,228855,8873,16425
"전남",화순군,19342,600156,18926,595947,16867,294296,11339,21148
"대구",소계,822566,28926498,818768,28772858,724355,14917604,492914,1399725
"대구",남구,43974,1265781,43742,1258354,37760,607002,24101,44492
"대구",달서구,197244,6881502,196325,6845605,174154,3521154,118823,312080
"대구",달성군,99265,3304242,98833,3286247,88100,1590617,59961,107558
"대구",동구,115012,3765527,114567,3742430,100892,1851590,67842,141682
"대구",북구,151991,4918323,151069,4892869,133487,2398789,88209,183183
"대구",서구,51515,1344927,51256,1335917,44392,604613,28320,31571
"대구",수성구,138660,6547808,138174,6517450,123684,3870812,90725,532430
"대구",중구,24905,898389,24802,893985,21886,473027,14933,46731
"경북",소계,841063,30110949,831576,29940061,741107,15731152,524073,1368004
"경북",경산시,94770,2955897,93534,2936708,82200,1433060,54716,102413
"경북",경주시,86672,3115601,85849,3098389,76417,1646585,54672,143493
"경북",고령군,8808,265597,8785,263924,7838,131858,5415,8704
"경북",구미시,157303,6145434,156545,6116791,141067,3322875,101867,316468
"경북",군위군,5568,180447,5392,179402,4860,93600,3388,7190
"경북",김천시,44325,1584819,43984,1576752,39220,822647,27624,67772
"경북",문경시,19749,612571,19533,609215,17041,304339,11498,23445
"경북",봉화군,6545,208351,6478,207089,5712,104435,4003,7644
"경북",상주시,23813,749518,23345,745895,20610,371211,13900,26381
"경북",성주군,10804,317942,10328,315527,9082,160236,6208,11382
"경북",안동시,46746,1614702,46360,1608230,41337,822739,29320,65864
"경북",영덕군,7646,223480,7290,221772,6388,109751,4265,7820
"경북",영양군,3526,113944,3339,113437,2982,57477,2128,4222
"경북",영주시,28159,964180,27693,959469,24489,494361,17240,39402
"경북",영천시,30277,952320,29947,947080,26598,474437,18305,33961
"경북",예천군,14942,550234,14660,547312,13213,281628,9538,22730
"경북",울릉군,2880,111730,2875,110899,2644,58753,1963,4603
"경북",울진군,13499,534466,13172,530391,11898,297716,8882,29813
"경북",의성군,11095,315451,10560,313348,9100,155030,6128,10542
"경북",청도군,10063,312338,9810,310317,8625,160519,5669,14636
"경북",청송군,5512,165133,5298,164293,4471,81772,3106,5719
"경북",칠곡군,40676,1323312,40192,1314836,35799,660809,24516,48607
"경북",포항시,167685,6793482,166607,6748985,149516,3685315,109722,365194
"부산",소계,1178358,41913080,1173924,41530800,1033344,21881477,702491,2168616
"부산",강서구,58119,2273491,57896,2256186,52029,1202163,37765,110130
"부산",금정구,77220,2850239,76701,2828453,67584,1537250,46528,164760
"부산",기장군,60724,2147850,60568,2126788,53230,1086113,35930,93000
"부산",남구,88118,3365320,87795,3335044,77238,1814049,52954,201770
"부산",동구,29725,876983,29585,866018,25053,419610,16205,31081
"부산",동래구,93226,3551690,92903,3523166,82461,1885339,57261,191675
"부산",부산진구,125012,4115212,124476,4082450,109192,2060972,72475,178719
"부산",북구,101899,3450459,101511,3425319,90311,1731711,61442,141801
"부산",사상구,77129,2250660,76804,2232639,67206,1054959,44068,64298
"부산",사하구,112918,3526321,112529,3489845,98304,1708769,65303,121730
"부산",서구,33999,1129837,33868,1112997,29491,569747,19795,49889
"부산",수영구,62027,2192339,61838,2171312,54131,1154223,36186,118719
"부산",연제구,71974,2665328,71779,2645111,63818,1399880,43936,137168
"부산",영도구,35180,1058284,35012,1031620,30337,503608,19592,36071
"부산",중구,14070,363203,13992,355154,11602,165486,7231,10303
