"동별(1)","동별(2)",성별(1),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)","동별(2)",성별(1),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"동별(1)","동별(2)",성별(1),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
"합계","노원구",남자,242589,6064,9124,11886,13838,17686,17375,15515,15478,17792,20099,22776,18659,18349,14462,9652,6779,4557,1863,539,91,11
"합계","노원구",여자,261676,5623,8645,11026,12838,17256,16364,15532,15654,19200,22451,24489,19940,21031,16796,11744,9457,7493,4116,1601,362,63
"합계","은평구",계,465728,11176,15517,17380,19363,27319,36562,33818,32274,35437,36830,40652,35191,37069,29235,21344,16834,12151,5532,1658,348,43
"합계","은평구",남자,222447,5752,7973,8885,9936,13188,17095,16458,16000,17656,18067,19706,16791,17346,13302,9411,7189,5150,1992,467,78,10
"합계","은평구",여자,243281,5424,7545,8495,9427,14131,19468,17360,16274,17781,18763,20946,18400,19723,15933,11933,9645,7002,3540,1191,270,33
"합계","서대문구",계,302244,7937,10674,10609,11850,21593,26949,22687,21323,22179,22424,25684,22130,22238,17225,12449,10557,8212,3951,1259,267,51
"합계","서대문구",남자,144166,4115,5354,5357,5872,9707,13241,11189,10553,11017,10956,12483,10742,10666,7973,5385,4434,3294,1407,363,54,10
"합계","서대문구",여자,158078,3823,5320,5252,5978,11887,13708,11499,10770,11163,11469,13201,11388,11572,9252,7064,6124,4919,2544,897,213,41
"합계","마포구",계,362720,9823,12843,13397,14045,24402,35969,32873,29957,29202,29113,29928,24039,23035,17536,12600,10494,7944,3875,1345,258,47
"합계","마포구",남자,170317,5098,6501,6785,7068,10607,16271,15364,14316,14239,14029,14568,11776,10957,8010,5376,4341,3204,1351,391,59,11
"합계","마포구",여자,192403,4725,6343,6612,6977,13795,19698,17510,15642,14963,15084,15360,12263,12079,9526,7224,6153,4740,2524,954,199,36
"합계","양천구",계,440982,10199,18074,24263,24743,26314,29570,26757,27813,35540,39183,40859,34058,33816,26508,17851,11935,7882,3832,1429,316,48
"합계","양천구",남자,215827,5321,9226,12628,12925,13497,14820,13468,13546,16802,18879,20300,16878,16190,12573,8569,5415,3203,1179,336,70,9
"합계","양천구",여자,225155,4878,8848,11635,11818,12817,14750,13289,14267,18738,20305,20559,17180,17626,13936,9282,6520,4679,2653,1094,246,39
"합계","강서구",계,567898,14980,20121,21133,22038,31697,52202,51979,45260,45382,42526,43478,39324,43873,35008,23828,16319,10821,5364,2024,478,69
"합계","강서구",남자,272771,7617,10215,10874,11199,14827,23465,25728,23180,22869,21206,21313,18576,20357,16019,11164,7578,4330,1681,472,90,15
"합계","강서구",여자,295127,7363,9906,10259,10839,16870,28737,26251,22080,22514,21320,22165,20748,23517,18989,12664,8742,6491,3684,1552,388,54
"합계","구로구",계,393518,11271,13868,14325,14506,21703,31420,31629,29399,30498,29649,31871,29374,31512,25783,18809,13501,8881,3946,1262,282,33
"합계","구로구",남자,193508,5854,7029,7255,7510,10538,15317,15970,15186,15632,15092,15786,14519,15019,11954,8919,6299,3845,1403,329,51,6
"합계","구로구",여자,200010,5418,6839,7071,6996,11165,16103,15659,14213,14866,14557,16086,14855,16493,13829,9890,7202,5037,2543,933,231,28
"합계","금천구",계,228374,5070,6104,6409,7294,13068,23622,20801,16003,15247,15570,19001,19213,19971,14729,10440,7633,5107,2208,714,147,28
"합계","금천구",남자,115065,2632,3116,3259,3670,6241,11777,11459,8847,8255,8026,9514,9622,9937,7079,4964,3497,2184,758,194,33,7
"합계","금천구",여자,113309,2439,2989,3151,3624,6827,11845,9342,7156,6992,7544,9488,9591,10035,7651,5476,4136,2923,1450,520,115,21
"합계","영등포구",계,372626,11422,12715,11610,11900,21029,36925,37536,31607,28467,26182,28789,26151,26792,20851,15331,11488,8177,4108,1249,263,38
"합계","영등포구",남자,183333,5847,6506,5916,6290,9575,17087,18842,16341,14783,13353,14526,13397,13102,10010,7138,5176,3493,1523,365,59,8
"합계","영등포구",여자,189293,5576,6209,5695,5610,11454,19838,18694,15266,13684,12829,14263,12755,13690,10841,8193,6313,4685,2585,884,204,30
"합계","동작구",계,379738,9441,12709,12787,13966,26329,38008,32316,27720,28234,27660,30256,26517,27520,22190,16611,12801,8792,4143,1374,322,48
"합계","동작구",남자,183610,4855,6465,6610,7113,12265,18732,16404,13978,14246,13769,14681,12753,12738,10218,7326,5658,3851,1493,379,71,12
"합계","동작구",여자,196128,4586,6244,6177,6853,14064,19277,15912,13743,13988,13892,15575,13764,14782,11972,9285,7143,4942,2651,995,252,36
"합계","관악구",계,482093,8142,10847,12036,14556,37540,71244,51437,34313,32316,31443,34543,31012,32661,26700,20855,15811,10667,4296,1340,289,49
"합계","관악구",남자,242063,4207,5577,6190,7381,16568,36228,28663,18854,17417,16686,17675,15550,15486,12201,9565,7092,4724,1600,349,46,8
"합계","관악구",여자,240030,3935,5271,5846,7175,20972,35017,22774,15459,14899,14757,16868,15462,17175,14499,11291,8719,5944,2696,992,243,42
"합계","서초구",계,402937,11430,18910,22881,21446,22942,27733,28275,29255,35836,37165,35414,26223,25250,21436,15371,11264,6926,3467,1328,344,47
"합계","서초구",남자,192514,5936,9651,11656,10879,11152,13188,13202,13239,16351,17674,17676,12903,11792,9780,7048,5325,3250,1358,372,77,7
"합계","서초구",여자,210423,5494,9259,11225,10567,11790,14545,15073,16016,19485,19491,17738,13320,13458,11656,8323,5940,3676,2109,956,267,41
"합계","강남구",계,522783,11916,21534,29777,29599,30565,38208,38020,37504,46215,48960,46692,33961,31712,28115,20257,14554,8758,4189,1738,442,73
"합계","강남구",남자,250061,6169,11072,15528,15459,14778,17915,17996,16931,20746,23019,23487,16910,14891,12658,9262,7000,4123,1570,443,96,14
"합계","강남구",여자,272722,5747,10462,14250,14140,15787,20293,20025,20573,25469,25941,23205,17052,16821,15457,10995,7555,4635,2619,1295,346,59
"합계","송파구",계,652994,19615,27599,29137,28711,36992,51535,53184,52189,55065,51239,53624,46713,48123,38930,25352,16906,10248,5248,2026,487,75
"합계","송파구",남자,314477,10123,14204,14879,14678,17912,24109,25392,24899,26500,24951,25869,22686,22509,18293,12372,8180,4523,1799,502,92,12
"합계","송파구",여자,338517,9493,13395,14258,14033,19080,27427,27792,27291,28566,26289,27755,24027,25614,20638,12981,8727,5725,3449,1525,395,63
"합계","강동구",계,457679,14280,19134,19889,18965,24887,34132,34555,35242,38681,35343,36741,33618,36870,29428,19438,12885,7928,3788,1489,325,66
"합계","강동구",남자,224158,7392,9973,10512,9978,12361,16398,17063,17448,19238,17686,18141,16358,17349,13729,9316,6190,3414,1230,316,57,13
"합계","강동구",여자,233522,6888,9161,9378,8988,12527,17734,17492,17794,19443,17657,18600,17260,19521,15700,10122,6696,4514,2559,1173,268,53
