상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
운동시대 YK 휘트니스(422),헬스장,폐업,"서울특별시 강남구 도곡로 449, 3층 301호 (대치동, 아가도스빌딩)",강남구,사립,37.49882397964299,127.05667385312819,2015-10-22,2021-03-11
리얼피티니스,헬스장,폐업,"서울특별시 강남구 도곡로 181, 지하1층 (역삼동, 일성빌딩)",강남구,사립,37.492105525213056,127.03614324835783,2015-11-09,2020-01-16
GYM1984(426),헬스장,폐업,"서울특별시 강남구 언주로150길 51, 2층 (논현동)",강남구,사립,37.52218020749918,127.03545978883399,2015-11-19,2021-03-11
바디앤핏(297),헬스장,폐업,"서울특별시 강남구 도산대로 236 (논현동,5층)",강남구,사립,37.5207716572255,127.03022427769976,2012-07-03,2021-03-11
박훈짐(Gym)(316),헬스장,폐업,"서울특별시 강남구 역삼로77길 23 (대치동,지하1층)",강남구,사립,37.50394522169463,127.05297819898739,2012-11-20,2021-03-11
100일휘트니스파티(237),헬스장,폐업,"서울특별시 강남구 강남대로 598 (논현동,보림빌딩 지하1층)",강남구,사립,37.51518261114342,127.01740735245397,2010-10-13,2021-03-11
다이어트 & 휘트니스  (170),헬스장,폐업,서울특별시 강남구 테헤란로6길 30 (역삼동),강남구,사립,37.49660519041253,127.02821400673089,2006-03-13,2021-03-11
드림피트니스클럽(325),헬스장,폐업,서울특별시 강남구 선릉로129길 9-4 (논현동),강남구,사립,37.51598093644844,127.03782592932417,2013-04-15,2021-03-11
더 짐나지움 180+,헬스장,폐업,"서울특별시 강남구 언주로 98-36, 2층 (역삼동)",강남구,사립,inf,inf,2014-12-16,2021-03-11
휘트니스피플 대치점(463),헬스장,폐업,"서울특별시 강남구 영동대로 217, B1층 (대치동, 백암빌딩)",강남구,사립,37.49816504173226,127.06552946007524,2016-07-26,2021-02-10
장수헬스(43),헬스장,폐업,서울특별시 강남구 삼성로 427 (대치동),강남구,사립,37.50495355337811,127.0543692900511,1996-05-02,2021-03-11
