,공원명,시군구명,공원주소,경도,위도,면적(㎡),소분류
84,선유도근린공원,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,126.90014,37.543418,110407.0,공원
85,손기정체육공원,중구,서울특별시 중구 손기정로 101 ,126.9652702,37.5560189,29682.0,공원
86,성북근린공원,성북구,서울특별시 성북구 돈암동 616-1055,127.0078625,37.5948509,137759.0,공원
87,봉제산공원,강서구,서울특별시 강서구 화곡동 산41-6,126.8517836,37.5421979,917190.0,공원
88,서울창포원,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,127.047938,37.689585,51470.0,공원
89,북서울꿈의숲,강북구,서울특별시 강북구 월계로 173,127.0407344,37.6233355,662543.0,공원
90,서서울호수공원,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),126.8304789,37.5278392,217946.0,공원
91,중랑캠핑숲,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),127.1093075,37.6049896,179666.0,공원
92,솔밭근린공원,강북구,서울특별시 강북구 우이동 80번지 일대,127.0116241,37.652331,34955.0,공원
93,금천체육공원(관악산),금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),126.908681,37.468164,18083.0,공원
94,금천폭포근린공원,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),126.9040127,37.4468663,4835.0,공원
95,만수천공원(관악산),금천구,서울특별시 금천구 독산동 산8 일대,126.9090028,37.4734274,19650.0,공원
96,발바닥공원,도봉구,서울특별시 도봉구 시루봉로6길 33,127.031982,37.6597135,7000.0,공원
97,월천근린공원,도봉구,서울특별시 도봉구 창동 28번지,127.0509895,37.6473889,10712.0,공원
98,용두근린공원,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,127.0390042,37.5732791,17182.0,공원
99,상암근린공원,마포구,서울특별시 마포구 상암동 1761,126.8859012,37.5760106,160349.0,공원
100,와우근린공원,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),126.9289936,37.5517298,87432.0,공원
101,금호근린공원,성동구,서울특별시 성동구 장터1길 18,127.0189457,37.5494726,13467.0,공원
102,달맞이근린공원,성동구,서울특별시 성동구 옥수동 산1-1,127.0212054,37.543564,46871.0,공원
