요리,종류,난이도,소요시간,링크,재료,재료수
[오세득 셰프] 평양 잡육쟁반,메인요리,2,110,https://wtable.co.kr/recipes/1rEM1h4y9r9BpDAHcefqaKAv?location=recipe_home,설탕 팽이버섯 식초 청양고추 간장 다진마늘 대파 쑥갓 깻잎 한우잡육 다진파,11
[오세득 셰프] 육개장,메인요리,2,110,https://wtable.co.kr/recipes/xtpyPvmtgLPUKXjqHKmv7Nmd?location=recipe_home,숙주 토란대 식용유 고춧가루 잡육육수 달걀 참기름 간장 다진마늘 고사리 한우잡육,11
[오세득 셰프] 소고기 파국,메인요리,2,110,https://wtable.co.kr/recipes/8jNZyBy8qMqFCLrW7DD8ERUg?location=recipe_home,다시마 소금 식용유 잡육육수 간장 대파 간마늘 후춧가루 한우잡육,9
간장비빔국수,메인요리,1,15,https://wtable.co.kr/recipes/TYrpZcRhHki3cXKAxW8v8jBt?location=recipe_home,설탕 쪽파 깨소금 달걀 올리고당 간장 참기름 다진마늘 소면 김가루 통깨,11
스팸덮밥,메인요리,1,15,https://wtable.co.kr/recipes/4ppRSuubyKqPTz7TaS86shNz?location=recipe_home,설탕 물 식용유 쪽파 밥 달걀 간장 참기름 스팸 후춧가루 통깨 맛술,12
[강레오 셰프] 프랑스식 굴 술찜,메인요리,2,30,https://wtable.co.kr/recipes/KjMLf8ep5JmJCHsog7oTCpfx?location=recipe_home,화이트인 바질 소금 굴 파슬리 양파 백후춧가루 버터 차빌 토마토 올리브오일,11
가지밥,메인요리,1,20,https://wtable.co.kr/recipes/MDQ8e85R5SESuW2NVHMNjZdA?location=recipe_home,설탕 물 진간장 식용유 불린쌀 고춧가루 가지 양파 참기름 다진마늘 다진청양고추 후춧가루 대파 통깨,14
칼국수,메인요리,2,30,https://wtable.co.kr/recipes/f4ZMvo2MFr6uo4bGYLXZQLuk?location=recipe_home,다시마 물 감자 국간장 소금 식용유 밀가루 양파 당근 애호박 덧밀가루 후춧가루 멸치액젓 대파,15
진미채김밥,메인요리,2,30,https://wtable.co.kr/recipes/DcDz7Zb9SFAJkhKcTnKxNyPv?location=recipe_home,설탕 물 김밥용단무지 소금 식용유 물엿 고춧가루 진미채 고추장 밥 김 참기름 간장 통깨 마요네즈,15
두부참치배추롤,메인요리,1,20,https://wtable.co.kr/recipes/WSEoZqv6soTsL4sbz2f2rug1?location=recipe_home,두부 물 설탕 소금 후추 식용유 참치 식초 굴소스 달걀 참기름 간장 알배추 맛술,14
양배추 샤브샤브,메인요리,2,20,https://wtable.co.kr/recipes/KBdaq3nsujwf4Uw16V7nNwAn?location=recipe_home,쯔유 물 설탕 연겨자 우삼겹 올리고당 간장 양배추 대파,9
간단 잡채,메인요리,1,30,https://wtable.co.kr/recipes/UaintYqHTuay5cQPCF9edmSC?location=recipe_home,흑설탕 표고버섯 물 진간장 건당면 부추 돼지고기 식용유 당근 양파 참기름 후춧가루 통깨,13
감자수제비,메인요리,1,30,https://wtable.co.kr/recipes/1miRwBCxtkgFsn6QqhD9ZCBd?location=recipe_home,설탕 물 감자 소금 멸치다시육수 국간장 후추 밀가루 청양고추 당근 애호박 간장 다진마늘 멸치액젓 대파,15
멸치육수 떡국,메인요리,1,20,https://wtable.co.kr/recipes/Hkogrkfg9sRPAA6NfmXbVEgC?location=recipe_home,다시마 물 국간장 소금 멸치 떡국용떡 달걀 후춧가루 대파 통깨,10
된장찌개,메인요리,1,30,https://wtable.co.kr/recipes/G96HSCsrmWzAmbynq9EdZAH3?location=recipe_home,두부 감자 홍고추 육수용멸치 청양고추 양파 애호박 된장 다진마늘 쌀뜨물 대파,11
사골 떡국,메인요리,1,30,https://wtable.co.kr/recipes/pHoPMJ7KLgQffpsr2P7WuvSr?location=recipe_home,물 국간장 소금 용사골육수 깨소금 떡국용떡 달걀 간마늘 후춧가루 김가루 대파,11
봄동비빔밥,메인요리,1,20,https://wtable.co.kr/recipes/jTEApAJesD14gLJ36c6GuvcD?location=recipe_home,설탕 고춧가루 식초 봄동 밥 들기름 간장 매실청 다진마늘 참기름 멸치액젓 통깨,12
브로콜리 새우볶음,메인요리,1,20,https://wtable.co.kr/recipes/thCR4Gtf3yyfVXuPQeUDUPUN?location=recipe_home,소금 브로콜리 식초 청주 페페론치노 마늘 후춧가루 올리브오일 새우,9
시금치 파스타,메인요리,1,20,https://wtable.co.kr/recipes/JhWMkefiYqY3kf5o8BQyoBQh?location=recipe_home,시금치 소금 파스타면 치킨스톡 양파 방울토마토 마늘 레몬 파마산치즈 면수 후춧가루 올리브오일 새우,13
스페인식 대구찜(해양수산부),메인요리,2,40,https://wtable.co.kr/recipes/YpdQcAk3cuxo6tRrLvas9Cmx?location=recipe_home,파프리카 강황가루 이탈리안파슬리 소금 화이트인 바지락 양파 씨푸드스톡육수 마늘 대구살 후춧가루 올리브오일 새우,13
매생이 낙지 솥밥,메인요리,2,50,https://wtable.co.kr/recipes/kwKofLvXM9Q6eUaTstGUoGuZ?location=recipe_home,낙지 소금 쌀 부추 매생이 고춧가루 밀가루 쪽파 올리고당 간장 참기름 들기름 다진마늘 다시마육수 통깨 맛술,16
콩나물밥과 달래장,메인요리,2,40,https://wtable.co.kr/recipes/N6976PigZUGzsZ4eQ1KUjowd?location=recipe_home,오징어 다시마물 쌀 소금 고춧가루 콩나물 올리고당 참기름 간장 다진마늘 달래 후춧가루 통깨 맛술,14
순두부덮밥,메인요리,1,5,https://wtable.co.kr/recipes/qHNdBtZ3oXLG8GgxpcRkY6HL?location=recipe_home,쯔유 물 가쓰오부시 소금 애호박 쪽파 밥 달걀 참기름 퉁깨 순두부,11
아스파라거스구이,메인요리,1,25,https://wtable.co.kr/recipes/3TbfdcPQTtkm6qc1oazKBSsS?location=recipe_home,소금 식초 달걀 아스파라거스 마늘 레몬 후춧가루 올리브오일,8
무차돌박이전골,메인요리,2,30,https://wtable.co.kr/recipes/8pvwRPyeJwtU6TcUN3GkKfMc?location=recipe_home,설탕 숙주 국간장 소금 배추 다진대파 무 식초 고춧가루 쪽파 간장 다진마늘 깨 다진생강 참기름 다시마육수 차돌박이,17
고구마 돈가스 피자,메인요리,1,30,https://wtable.co.kr/recipes/ZiYFcuhg8N7iN22cQLD6rVbb?location=recipe_home,고구마돈가스 파슬리가루 토르티야 양파 옥수수통조림 양송이버섯 블랙올리브 베이컨 토마토소스 피자치즈 노랑파프리카 후춧가루 마요네즈,13
돈가스 마요덮밥,메인요리,1,35,https://wtable.co.kr/recipes/3P411Aib5HNsAZsudG1yw263?location=recipe_home,설탕 물 등심돈까스 식용유 마요네즈 양파 쪽파 밥 달걀 간장 통깨 맛술,12
소고기 갈비찜,메인요리,2,90,https://wtable.co.kr/recipes/gWFdZisHGJC2mV9NhXUm6hD4?location=recipe_home,흑설탕 진간장 생강즙 홍고추 배 무 청양고추 양파 올리고당 소고기갈비 새송이버섯 다진마늘 참기름 대추 후춧가루 대파 다진파 맛술,18
양배추 쌈밥,메인요리,1,15,https://wtable.co.kr/recipes/EoWFHgZbbVxwN7du5tqSyt7e?location=recipe_home,쌈장 참치캔 다진견과류 밥 양배추,5
시금치통닭,메인요리,2,40,https://wtable.co.kr/recipes/PD7q492UBMGbwChbtuS3QaVg?location=recipe_home,설탕 시금치 닭 감자 소금 밥 페페론치노 버터 간장 다진마늘 후춧가루 올리브오일 맛술,13
돼지고기 수육 겨자냉채,메인요리,2,80,https://wtable.co.kr/recipes/K5YSxdm2BhPk9UYifxqK6vLa?location=recipe_home,물 연겨자 다진마늘 월계수잎 통깨 파프리카 설탕 미림 소금 돼지고기 영양부추 마늘 통후추 물엿 식초 양파 대파 맛술 생강 연유 된장 간장 오이,23
