요리,종류,난이도,소요시간,링크,재료,재료수
굴떡국,메인요리,2,30,https://wtable.co.kr/recipes/w6FaXwY5Uii5obxivBpw13TP?location=recipe_home,표고버섯 국간장 다시마멸치육수 생굴 떡국용떡 달걀 다진마늘,7
꼬막비빔밥,메인요리,1,100,https://wtable.co.kr/recipes/p7oyUEY9ju4o2PMvLXrXD6bs?location=recipe_home,세발나물 고춧가루 어린잎채소 꼬막 양파 청양고추 깨소금 밥 올리고당 간장 다진마늘 매실청 참기름 멸치액젓 맛술,15
밀푀유나베,메인요리,1,45,https://wtable.co.kr/recipes/K9a135iyFtmccy1Tk7KCsuCe?location=recipe_home,다시마 물 국간장 멸치 알배추 깻잎 설탕 소금 만가닥버섯 무 다진양파 올리고당 한우불고기용 식초 표고버섯 팽이버섯 표고버섯밑둥 간장 청경채,19
쇠고기유부초밥,메인요리,2,30,https://wtable.co.kr/recipes/1kscYETd4sejTetcCcrK6ok2?location=recipe_home,다진쇠고기 설탕 유부 실파 소금 후추 메추리알 양파 당근 밥 참기름 간장 다진마늘 통깨,14
파프리카컵리조토,메인요리,2,35,https://wtable.co.kr/recipes/hEabCd2u84CS3jr6goZibNuW?location=recipe_home,파프리카 파슬리가루 소금 후추 생크림 양파 애호박 당근 고슬고슬한밥 버터 피자치즈 햄슬라이스,12
대구지리,메인요리,2,50,https://wtable.co.kr/recipes/yNf2CiHcTrKkYHKJSZyrc7hC?location=recipe_home,다시마 물 곤이 홍고추 팽이버섯 소금 가쓰오부시 미더덕 무 멸치 미나리 청양고추 생대구 새우 조개 다진마늘 대파,18
꽃게튀김,메인요리,3,40,https://wtable.co.kr/recipes/W9Aj3SdirTNNzuLFXFrkjnBD?location=recipe_home,땅콩 설탕 피스타치오 칠리소스 피시소스 청주 녹말 말린허브 간장 다진마늘 꽃게 고추,12
낫토마메밀국수,메인요리,2,20,https://wtable.co.kr/recipes/HzXzG2V8sZUc2tLLcYFf6Vmw?location=recipe_home,쯔유 마 메밀국수 달걀노른자 오이지 김 간장 겨자 낫토,9
무화과베이컨말이구이,메인요리,1,15,https://wtable.co.kr/recipes/gQBnR1DJuhTbwdzn1B5XFoWT?location=recipe_home,베이컨 무화과 발사믹글레이즈,3
새송이떡갈비,메인요리,2,30,https://wtable.co.kr/recipes/wmQ8XNmF9UYAPrNFqW1Qmioz?location=recipe_home,다진쇠고기 설탕 물 후추 다진대파 꿀 다진잣 찹쌀가루 새송이버섯 영양부추 다진마늘 참기름 간장 유자청,16
두부스테이크,메인요리,2,30,https://wtable.co.kr/recipes/14BDpqPZToRLK5RFfrYDWf2b?location=recipe_home,두부 물 파슬리가루 스테이크소스 실파 소금 후추 케첩 빵가루 전분가루 양파 당근 굴소스 편마늘 양송이버섯 달걀 버터 올리브유,18
돼지고기가지찜,메인요리,2,30,https://wtable.co.kr/recipes/CD4JZEH9Ejfq7LG8m2yhUT1z?location=recipe_home,실파 소금 후추 식용유 다진돼지고기 가지 굴소스 맛술,10
두부버섯전골,메인요리,2,35,https://wtable.co.kr/recipes/KkSZcmuMfvL688LTzJ8sehHT?location=recipe_home,다시마 물 고춧가루 멸치 느타리버섯 다진마늘 설탕 참치액젓 소금 무 고추장 홍고추 청양고추 양파 미나리 대파 맛술 두부 유부 팽이버섯 후추 당근 신김치,23
해신탕,메인요리,3,80,https://wtable.co.kr/recipes/V5ZWZZCzYuHoEycSpqTJs7wB?location=recipe_home,황기 낙지 소금 후추 전복 불린녹두 통마늘 대추 밤 인삼 닭 생강가루 불린찹쌀,13
가지말이구이,메인요리,1,25,https://wtable.co.kr/recipes/KpAAmpA3Zm8PiVrhA2nL4Sxp?location=recipe_home,팽이버섯 소금 후추 가지 발사믹식초 아스파라거스 방울토마토 매실청 올리브오일,9
월남쌈,메인요리,2,40,https://wtable.co.kr/recipes/fzbeCCKZsvF9WA8y21kY3MED?location=recipe_home,라이스페이퍼 새싹채소 다진홍고추 양파 당근 청양고추 달걀 땅콩소스 노란 영양부추 적양배추 파인애플 스위트칠리소스 새우 주황파프리카 깻잎 피시소스,17
쌈밥과 두부쌈장,메인요리,1,20,https://wtable.co.kr/recipes/ukwq7S8jmoXauQHq3BBVp7FK?location=recipe_home,두부 양파 된장 밥 견과류 곰취 양배추,7
흑임자죽,메인요리,2,50,https://wtable.co.kr/recipes/Wq5w4Y9buZc8U8c9FEoL3oZU?location=recipe_home,설탕 물 흑임자 소금 잣 불린찹쌀,6
콩나물버섯냉채,메인요리,2,40,https://wtable.co.kr/recipes/shnp5fNcxzHLJ6ZTrxSSggKs?location=recipe_home,오징어 설탕 표고버섯 소금 후추 고추기름 식초 어린잎채소 칵테일새우 쇠고기 새송이버섯 간장 참기름 콩나물 통깨,15
불고기토르티야피자,메인요리,1,30,https://wtable.co.kr/recipes/m4gEqseUTMTuy73bqwTXXjVv?location=recipe_home,설탕 후추 토르티야 어린잎채소 청주 양파 토마토소스 쇠고기 모차렐라치즈 피자치즈 간장 다진마늘 참기름 토마토,14
꼬시래기 초무침,밑반찬,1,20,https://wtable.co.kr/recipes/NKZa2c6Zs3KDMeF9mF8R2i5z?location=recipe_home,설탕 소금 식초 고춧가루 양파 고추장 꼬시래기 올리고당 간장 다진마늘 오이 깻잎 통깨 맛술,14
쪽파장아찌,밑반찬,1,20,https://wtable.co.kr/recipes/MheZ8FnDkfV1KjfhuRH92eEB?location=recipe_home,설탕 진간장 소금 식초 청주 쪽파,6
미나리 장아찌,밑반찬,1,20,https://wtable.co.kr/recipes/4SKg2YekHtcUeT2uStdUnYUx?location=recipe_home,설탕 진간장 물 식초 미나리,5
참외 깍두기,밑반찬,1,20,https://wtable.co.kr/recipes/FgPc7dxDaMzmpQTfpxXKu7S9?location=recipe_home,참외 부추 까나리액젓 고춧가루 참기름 간장 매실청 통깨,8
고구마순 멸치조림,밑반찬,1,30,https://wtable.co.kr/recipes/fF5hQFidDymZTZHhvYC4ULsx?location=recipe_home,물 고구마순 국간장 소금 식용유 초이스레시피분말 고춧가루 멸치 청양고추 양파 들기름 다진마늘 액젓 통깨,14
미나리 나물,밑반찬,1,20,https://wtable.co.kr/recipes/fEx4zVqPyPKzGhYc46LPz1Wz?location=recipe_home,국간장 소금 식초 참기름 미나리 통깨,6
섞박지,밑반찬,2,100,https://wtable.co.kr/recipes/WhJA7UG4W37jbUZoPHZNcjZj?location=recipe_home,생강 배 소금 무 고춧가루 양파 밥 뉴슈가 새우젓 마늘 다시마우린물 액젓,12
미나리 된장무침,밑반찬,1,20,https://wtable.co.kr/recipes/SoAUPrWkckRAUMSCdB6dJ3rS?location=recipe_home,홍고추 소금 된장 참기름 다진마늘 미나리 통깨,7
쪽파무침,밑반찬,1,10,https://wtable.co.kr/recipes/EeudmZQjfVTkYQo8MHkMt7ha?location=recipe_home,국간장 쪽파 올리고당 참기름 통깨,5
참나물 무침,밑반찬,1,20,https://wtable.co.kr/recipes/LyXSo5yv9gSz4xXg3pSaxo97?location=recipe_home,대파부분 소금 통마늘 참나물 참기름 통깨,6
세발나물 된장무침,밑반찬,1,15,https://wtable.co.kr/recipes/dgXknoP3rcPLDHofWAK8VsJS?location=recipe_home,홍고추 소금 세발나물 된장 참기름 다진마늘 매실청 통깨,8
깻잎순나물,밑반찬,1,20,https://wtable.co.kr/recipes/nJiHpExN69vhtANh4vhHAyWR?location=recipe_home,대파부분 깻잎순 국간장 소금 식용유 양파 다진마늘 멸치육수 액젓 통깨,10
돼지고기 오이볶음,밑반찬,1,25,https://wtable.co.kr/recipes/xpKgSkdKopmiL7aXd3gQu7YU?location=recipe_home,설탕 소금 식용유 다진돼지고기 간장 참기름 다진마늘 오이 후춧가루 통깨 맛술,11
세발나물 무침,밑반찬,1,20,https://wtable.co.kr/recipes/WcBCEubv9ew5F3Bg8eRaArEu?location=recipe_home,설탕 세발나물 고춧가루 식초 양파 참기름 간장 매실청 다진마늘 오이 통깨,11
돌나물 사과무침,밑반찬,1,15,https://wtable.co.kr/recipes/VWktdBfQ8styayN7dSURXneH?location=recipe_home,식초 고추장 돌나물 올리고당 참기름 간장 다진마늘 사과 통깨,9
배추나물,밑반찬,1,20,https://wtable.co.kr/recipes/46uGCbhWvP3YuPXCR7eDTT5f?location=recipe_home,홍고추 소금 참기름 알배추 통깨,5
참나물 겉절이,밑반찬,1,25,https://wtable.co.kr/recipes/tnMpdxnRK82TiGZD13vTRDkn?location=recipe_home,식초 고춧가루 참나물 올리고당 간장 다진마늘 참기름 액젓 통깨,9
숙주나물,밑반찬,1,20,https://wtable.co.kr/recipes/QQ1DD7Pyn7bVisnJet9FesQZ?location=recipe_home,물 숙주 소금 국간장 쪽파 깨소금 참기름,7
시금치 된장무침,밑반찬,1,20,https://wtable.co.kr/recipes/7JFE7PbdtaFhLfsLeSZTEDxA?location=recipe_home,시금치 소금 된장 참기름 다진마늘,5
돌나물 무침,밑반찬,1,15,https://wtable.co.kr/recipes/QuQS4HVvM1Mh3Lzqw7SnwFyn?location=recipe_home,진간장 고춧가루 식초 매실액 돌나물 들기름 마늘 통깨,8
볶음김치,밑반찬,1,20,https://wtable.co.kr/recipes/PXukYD6NgqzE9xK6nSuxT4xz?location=recipe_home,배추김치 설탕 물 참치액젓 식용유 물엿 양파 참기름 간장 다진마늘 후춧가루 대파 통깨,13
대파구이,밑반찬,2,25,https://wtable.co.kr/recipes/vGQn9ucy5uYdQUbgJ9wPjTiQ?location=recipe_home,물 파슬리 소금 화인트인 레몬 후춧가루 올리브오일 대파,8
[오세득 셰프] 잡육조림,밑반찬,2,110,https://wtable.co.kr/recipes/DbFW5F2oSkixNVTy2yxL9CKH?location=recipe_home,설탕 연근 청양고추 가지 잡육육수 간장 한우잡육 맛술 연두,9
양배추어묵볶음,밑반찬,1,30,https://wtable.co.kr/recipes/891aooUWFHsxZn5CwpCnK3ju?location=recipe_home,설탕 진간장 식용유 물엿 양배추 당근 다진마늘 후춧가루 어묵,9
가지전,밑반찬,1,30,https://wtable.co.kr/recipes/6aAeWVLtNz4ytGBkYgNRsjGZ?location=recipe_home,진간장 다진청홍고추 소금 식용유 고춧가루 가지 쪽파 부침가루 달걀 참기름 다진마늘 통깨,12
가지나물무침,밑반찬,1,20,https://wtable.co.kr/recipes/m3yMR8d2h1Sio5EnPAPZTx7R?location=recipe_home,국간장 청양고추 가지 참기름 간마늘 통깨,6
간장두부조림,밑반찬,1,20,https://wtable.co.kr/recipes/gwHkFasfKPqXTYDQNumXc4vj?location=recipe_home,설탕 물 두부 식용유 간장 다진마늘 참기름 대파 통깨,9
감자두부조림,밑반찬,1,20,https://wtable.co.kr/recipes/jf737Q9KbvcJnrRRxxFN7LSE?location=recipe_home,멸치다시마육수 설탕 두부 감자 홍고추 고춧가루 청양고추 양파 고추장 간장 다진마늘 참기름 대파 통깨,14
참치두부조림,밑반찬,1,20,https://wtable.co.kr/recipes/GyZFBdpKjXZhd9QNCySZ4Lyn?location=recipe_home,멸치다시마육수 설탕 참치캔 두부 팽이버섯 고춧가루 청양고추 양파 고추장 된장 간장 다진마늘 참기름 대파,14
참치감자조림,밑반찬,1,30,https://wtable.co.kr/recipes/G5VqN3ni2VmJUyw5CitaiY2G?location=recipe_home,설탕 참치캔 물 감자 고춧가루 청양고추 양파 고추장 된장 간장 다진마늘 후춧가루 대파 통깨 맛술,15
감자채볶음,밑반찬,1,25,https://wtable.co.kr/recipes/yPUXXu7eSf9ZN5bxrjGFAxGT?location=recipe_home,감자 소금 식용유 양파 당근 다진마늘 통깨,7
봄동 겉절이,밑반찬,1,20,https://wtable.co.kr/recipes/1qd3WTmkvjaFMZU1RnbSGbPH?location=recipe_home,설탕 고춧가루 식초 봄동 간장 다진마늘 매실청 참기름 멸치액젓 통깨,10
브로콜리 참깨무침,밑반찬,1,20,https://wtable.co.kr/recipes/Phq1srHvzgYtDueKGZFcBHS5?location=recipe_home,설탕 감자 브로콜리 식초 볶은통깨 간장 마요네즈,7
가지 고추장 구이,밑반찬,1,25,https://wtable.co.kr/recipes/J7FR6XS6bgNXjr1apPNevBbM?location=recipe_home,설탕 소금 고춧가루 가지 고추장 쪽파 올리고당 간장 다진마늘 참기름 후춧가루 통깨,12
깻잎장아찌,밑반찬,2,30,https://wtable.co.kr/recipes/CiSmzjwr9X7Bt4JNWxpYVDLX?location=recipe_home,물 진간장 홍고추 소금 식초 비정제설탕 청양고추 깻잎 건다시마,9
장김치,밑반찬,2,30,https://wtable.co.kr/recipes/Dk8351qEx1kn6SzQH4wM45T4?location=recipe_home,물 국간장 통깨 설탕 무 장김치채소 메밀면 마늘 김가루 홍고추 꿀 매실액 양파 미나리 표고버섯 생강 배추 장김치국물 들기름 오이,20
양파 피클,밑반찬,1,15,https://wtable.co.kr/recipes/fYDVA58BCapKb17vdYjb6YaK?location=recipe_home,설탕 물 피클링스파이스 소금 식초 마늘 타임 적양파,8
버섯 오일 피클,밑반찬,1,20,https://wtable.co.kr/recipes/2Z8A4qPyhk5p7BS95id6LyQ1?location=recipe_home,표고버섯 엑스트라버진올리브유 소금 만가닥버섯 느타리버섯 페퍼론치노 마늘 월계수잎 레몬즙 타임 후춧가루,11
베트남식 무 당근 피클,밑반찬,1,20,https://wtable.co.kr/recipes/FuknBSuomJhA1yb3HxxsiZUb?location=recipe_home,고수 설탕 소금 무 식초 당근 페퍼론치노 레몬,8
오이 금귤 피클,밑반찬,1,20,https://wtable.co.kr/recipes/kupSgWufCRbSmeHWTRmCdCTz?location=recipe_home,설탕 물 피클링스파이스 소금 베이킹소다 금귤 화이트발사믹식초 오이 딜,9
사색 꼬치전,밑반찬,1,30,https://wtable.co.kr/recipes/m9xcByY78FJwy7fmwefTmnma?location=recipe_home,파프리카 강황가루 표고버섯 물 식용유 나무 부침가루 쪽파 단무지,9
깻잎 두부전,밑반찬,1,30,https://wtable.co.kr/recipes/5oQ8b8mgAzw7rd92Zt1Rnwko?location=recipe_home,두부 물 강황가루 소금 식용유 식초 부침가루 간장 후춧가루 깻잎,10
무 간장 장아찌,밑반찬,1,25,https://wtable.co.kr/recipes/tejMDLXF5TZbqiUjPayPkwoc?location=recipe_home,설탕 물 홍고추 현미식초 무 청양고추 양파 간장,8
묵은지 들기름 볶음,밑반찬,1,25,https://wtable.co.kr/recipes/LVAm8vXL6FdsxTfAb6RrP1ht?location=recipe_home,멸치다시마육수 설탕 참치액젓 식용유 들기름 다진마늘 묵은지 대파 통깨,9
콜라비 고깔 양배추 피클,밑반찬,1,25,https://wtable.co.kr/recipes/bDVHFqGHwWVGnycn3trnFFgZ?location=recipe_home,설탕 물 피클링스파이스 소금 고깔양배추 식초 비트 청양고추 콜라비 딜,10
참치 김치 볶음,밑반찬,1,30,https://wtable.co.kr/recipes/4fe7fbAXyXWU2A5VBwpBVpx3?location=recipe_home,설탕 참치캔 김치 소금 식용유 양파 참기름 간장 후춧가루 대파 통깨,11
두부 무조림,밑반찬,2,35,https://wtable.co.kr/recipes/FdGRJzYLaVm3ZK5vQjn2bFkt?location=recipe_home,멸치다시마육수 두부 설탕 참치액젓 홍고추 식용유 무 고춧가루 청양고추 양파 고추장 올리고당 간장 다진마늘 후춧가루 대파 생강가루,17
단감 깍두기,밑반찬,2,60,https://wtable.co.kr/recipes/bAE8GDMSSQJPQGXfzCkWHQoT?location=recipe_home,고춧가루 단감 쪽파 다진마늘 매실청 멸치액젓 대파 통깨,8
채식 쪽파김치,밑반찬,1,40,https://wtable.co.kr/recipes/Wcr4iqzKCmBfRk87j8tVBrFr?location=recipe_home,설탕 다시마물 국간장 찹쌀가루 고춧가루 쪽파 다진마늘 매실청,8
토마토 피클,밑반찬,1,15,https://wtable.co.kr/recipes/sbEN19sKufRWBrWdJKejU65h?location=recipe_home,설탕 물 피클링스파이스 소금 식초 방울토마토,6
오이 간장 절임,밑반찬,1,30,https://wtable.co.kr/recipes/eTW2ACfocxCMWetUQGdFQ57j?location=recipe_home,물 홍고추 소금 식초 비정제설탕 청양고추 양파 간장 오이 천일염 통깨,11
고추장 달걀 조림,밑반찬,1,20,https://wtable.co.kr/recipes/8Qt8DZcE5xzA1ivBiidVmqKm?location=recipe_home,설탕 진간장 소금 물엿 식초 고춧가루 양파 쪽파 고추장 달걀 꽈리고추 참기름 멸치육수 후춧가루 통깨,15
배추절임샐러드,밑반찬,1,30,https://wtable.co.kr/recipes/USSWfGes9VzFvFDDyXGa7Btv?location=recipe_home,오징어 무우 물 설탕 소금 배추 사과식초,7
당근건과일절임샐러드,밑반찬,1,45,https://wtable.co.kr/recipes/gELLvDsj4ciNGA1ArfA6C3YB?location=recipe_home,설탕 건크랜베리 건포도 소금 사과식초 양파 당근,7
양배추코올슬로,밑반찬,1,40,https://wtable.co.kr/recipes/6oUNifxeT2CcKtJ1pGaFcuTu?location=recipe_home,설탕 소금 양배추 사과식초 양파 당근 후춧가루 마요네즈,8
꼬막무침,밑반찬,1,30,https://wtable.co.kr/recipes/vQeqHvnoUmQ3N4Wt6bBvVHp6?location=recipe_home,설탕 물 부추 고춧가루 식초 꼬막 양파 당근 청주 매실액 고추장 파 참기름 다진마늘,14
사과즙나박김치,밑반찬,1,40,https://wtable.co.kr/recipes/j5sHzeB3wzpspmg1hKr526Vt?location=recipe_home,무우 생수 사과즙 고춧가루 꽃소금 당근 쪽파 다진마늘 다진생강 알배추 오이 천일염 미나리,13
석류모둠피클,밑반찬,1,20,https://wtable.co.kr/recipes/MpUKdyV4cAfZWRHNW1zgnL3A?location=recipe_home,파프리카 피클링스파이스 현미식초 생수 석류 노랑파프리카 오이 주황파프리카 백설탕,9
배깍두기,밑반찬,1,15,https://wtable.co.kr/recipes/YAUZ51UHBVHFMJg9YD6Hr2f5?location=recipe_home,배 소금 고춧가루 매실액 쪽파 다진마늘 참깨 멸치액젓,8
삼색 달걀찜,밑반찬,2,30,https://wtable.co.kr/recipes/A3LcHjf1KLSQkRT8unkTbZdF?location=recipe_home,파프리카 시금치 소금 당근 달걀노른자 달걀 참기름 달걀자 우유,9
맛살숙주나물무침,밑반찬,1,20,https://wtable.co.kr/recipes/oFyp9cjQpkR8uUzQMwF8W8dQ?location=recipe_home,숙주나물 국간장 소금 쪽파 참기름 참깨 맛살,7
칼라만시 과일 피클,밑반찬,1,20,https://wtable.co.kr/recipes/cEk6CV6QpeNYoWvvzPLLGXoE?location=recipe_home,배 생수 적포도 현미식초 칼라만시액 피클링스파이스 청포도 통후추 백설탕,9
쑥갓무침,밑반찬,1,10,https://wtable.co.kr/recipes/nng6Bx2Y4YDcaLKGfqetkfiV?location=recipe_home,홍고추 소금 참기름 다진마늘 쑥갓 대파 통깨,7
김장아찌,밑반찬,1,20,https://wtable.co.kr/recipes/vkJ8m6QfrJHZPDcKEBbmHhua?location=recipe_home,진간장 조청 생강청 고추장 김 밤,6
단무지무침,밑반찬,1,10,https://wtable.co.kr/recipes/gftrCqwGgVvapXuypBeMd244?location=recipe_home,소금 고춧가루 통단무지 고추 참기름 마늘 대파 통깨,8
상추겉절이,밑반찬,1,20,https://wtable.co.kr/recipes/wg3JLt45eMFTAWnfM3KkY5Cy?location=recipe_home,배즙 진간장 상추 고춧가루 생강청 참기름 다진마늘 멸치액젓 대파 통깨,10
바지락젓갈무침,밑반찬,1,20,https://wtable.co.kr/recipes/2ydqxa1D2EJzg3Ut9s3ukECp?location=recipe_home,홍고추 고춧가루 청고추 생강청 소주 참기름 다진마늘 바지락젓갈 대파 통깨,10
쪽파장아찌,밑반찬,1,30,https://wtable.co.kr/recipes/trB88ypmnzKUB6LvFNXM55DQ?location=recipe_home,설탕 진간장 소금 식초 청주 쪽파,6
돼지감자 소테,밑반찬,1,20,https://wtable.co.kr/recipes/BRr1yvhfaxARbqaWfZzfhzm7?location=recipe_home,발사믹식초 돼지감자 올리브오일 소금,4
양배추 오이 샐러드,밑반찬,1,20,https://wtable.co.kr/recipes/PoYG4FEiBjA5GHttg47hxSj1?location=recipe_home,소금 비트 양파 간장 오이 양배추 올리브오일 애플비니거,8
무 찜 조림,밑반찬,1,20,https://wtable.co.kr/recipes/WQ43vE5KVionLDwDsbu2D5Cm?location=recipe_home,다시마 물 소금 무 간장,5
껍질 강낭콩 두부 무침,밑반찬,1,30,https://wtable.co.kr/recipes/Nf7QH8HH8sSgabMfqcNb1xwj?location=recipe_home,두부 소금 호박 껍질강낭콩 올리브오일 애플비니거,6
오이 볶음,밑반찬,1,10,https://wtable.co.kr/recipes/bJRrsdbLC1m7j6iiHf2WEo14?location=recipe_home,홍고추 소금 식용유 들기름 오이 통깨,6
청포묵 무침,밑반찬,1,10,https://wtable.co.kr/recipes/CQjvWyUdk6Dyq2xZNPUgt3uX?location=recipe_home,청포묵 홍고추 소금 쪽파 참기름 간장 조미김 통깨,8
애호박 볶음,밑반찬,1,10,https://wtable.co.kr/recipes/4gFJA83bA1uPrsaCmHD3NsGN?location=recipe_home,소금 후추 식용유 애호박 참기름 다진마늘 통깨 채수 다진파,9
표고버섯 파프리카 볶음,밑반찬,1,10,https://wtable.co.kr/recipes/UhqEFUR6SGqi7ZA43xDceqsr?location=recipe_home,파프리카 표고버섯 소금 식용유 양파 당근 채수 참기름 다진마늘 간장 후춧가루 통깨,12
마늘종 고추장 볶음,밑반찬,1,10,https://wtable.co.kr/recipes/CdV2mhAVuaLw5EYJ7xwibMEX?location=recipe_home,마늘종 소금 식용유 고춧가루 고추장 올리고당 참기름 간장 채수 통깨,10
연근조림,밑반찬,2,90,https://wtable.co.kr/recipes/WdzGXDumetzxNibW86yT6z5W?location=recipe_home,설탕 소금 연근 식초 올리고당 참기름 간장 올리브유 통깨 맛술,10
흑식초 오이절임,밑반찬,1,10,https://wtable.co.kr/recipes/Ez9DCQen927sYFKVmA4B8koH?location=recipe_home,설탕 물 생강 홍고추 치킨파우더 팔각 간장 흑식초 오이,9
흑식초 다시마 무침,밑반찬,1,15,https://wtable.co.kr/recipes/vvcFmEG16TY9vEv4VmoPgvMh?location=recipe_home,고수 다시마 생강즙 홍고추 소금 식용유 식초 치킨파우더 쪽파 깨 다진마늘 참기름 흑식초 간장 산초가루,15
흑식초 무절임,밑반찬,1,15,https://wtable.co.kr/recipes/ZTJknqahk8GAA4v6aN9ezoA1?location=recipe_home,설탕 건고추 물 생강 소금 무 쪽파 간장 노두유 샐러리 흑식초,11
닭가슴살 장조림,밑반찬,1,60,https://wtable.co.kr/recipes/2nHKexeLSKYBjD48VrkoBFGs?location=recipe_home,물 알룰로스올리고당 닭가슴살 달걀 간장 통후추 마늘 알룰로스설탕 월계수잎 대파,10
두부 미나리 볶음,밑반찬,1,20,https://wtable.co.kr/recipes/DXKe6PP4wa4s4ZqevuQVbAnq?location=recipe_home,설탕 두부 풋고추 홍고추 포도씨유 소금 국간장 생새우살 매실액 흑초원액 양조간장 미나리,12
석류 김치,밑반찬,1,40,https://wtable.co.kr/recipes/N5TdV92GXVNLamHAJHcpCtKW?location=recipe_home,설탕 물 생강 배춧잎 실파 석이버섯 소금 무 청고추 홍고추 잣 밤 마늘 대추 깻가루 실고추 미나리,19
양배추 흑임자 무침,밑반찬,1,20,https://wtable.co.kr/recipes/2bXQSfLCKeT9Lik1P4r8t8bf?location=recipe_home,양배추 참기름 흑임자 소금,4
가지구이 무침,밑반찬,1,20,https://wtable.co.kr/recipes/qdRsktbqYAiAsCMgXxLYi5he?location=recipe_home,설탕 홍고추 물엿 고춧가루 가지 쪽파 간장 다진마늘 참기름 통깨 후춧가루 참치액 다진파,13
콩나물 미나리 무침,밑반찬,1,25,https://wtable.co.kr/recipes/QkLvuLvN4PmBkjSmnieanSG5?location=recipe_home,소금 식초 고춧가루 올리고당 참기름 다진마늘 콩나물 후춧가루 미나리 통깨,10
가지 절임,밑반찬,1,30,https://wtable.co.kr/recipes/qWoyo5REuqRYs6uxTMR6Vm4M?location=recipe_home,대파부분 식용유 식초 비정제설탕 가지 쪽파 간장 채수 통깨,9
오이고추 된장 무침,밑반찬,1,15,https://wtable.co.kr/recipes/cZvq4myCFaK4Es7uJzaUyUBn?location=recipe_home,오이고추 올리브 된장 올리고당 참기름 다진마늘 견과류 통깨,8
두부 장아찌,밑반찬,1,30,https://wtable.co.kr/recipes/9usLyyxr9wMYre2EZCYDf6pr?location=recipe_home,설탕 표고버섯 물 다시마 홍고추 두부 청양고추 올리고당 새송이버섯 들기름 간장 마늘 후춧가루 통깨 생강가루 맛술,16
톳 두부 무침,밑반찬,1,30,https://wtable.co.kr/recipes/bZGALPN1g7t4nLJFdTtPzhV9?location=recipe_home,두부 홍고추 소금 쪽파 참기름 다진마늘 잔새우 톳 통깨,9
양배추 볶음,밑반찬,1,20,https://wtable.co.kr/recipes/NCwNCJbYCFHSJqENzMHaSKGg?location=recipe_home,진간장 현미유 양배추 다진마늘 후춧가루,5
더덕 생채,밑반찬,1,30,https://wtable.co.kr/recipes/aFtzxJGqJK524bLnPw1HgVQM?location=recipe_home,설탕 물엿 식초 고춧가루 고추장 쪽파 간장 다진마늘 참기름 더덕 통깨 다진파,12
깍두기,밑반찬,2,60,https://wtable.co.kr/recipes/HANMd69Hi54uAr7qyVipn7Rh?location=recipe_home,설탕 소금 찹쌀가루 고춧가루 무 양파 쪽파 황태다시육수 다진새우젓 다진마늘 다진생강 멸치액젓 대파,13
오이지무침,밑반찬,1,15,https://wtable.co.kr/recipes/otoQ5JpRjgNPpuDtsYUwpRxC?location=recipe_home,설탕 홍고추 물엿 고춧가루 쪽파 오이지 참기름 다진마늘 통깨,9
사우어크라우트,밑반찬,2,25,https://wtable.co.kr/recipes/hnwDBdMAfSGYgU5Jp1pc18my?location=recipe_home,월계수잎 양배추 소금 당근,4
콩나물무침,밑반찬,1,20,https://wtable.co.kr/recipes/Pjy1RQNA8kYUjvppJBSRCM9F?location=recipe_home,실파 소금 다진파 깨소금 참기름 다진마늘 간장 콩나물 통깨,9
고추장감자조림,밑반찬,1,25,https://wtable.co.kr/recipes/i29FsEHyMBbkxdazqRQGkfqY?location=recipe_home,멸치다시마육수 설탕 감자 홍고추 식용유 고춧가루 양파 고추장 올리고당 참기름 간장 다진마늘 후춧가루 대파 통깨 맛술,16
알배추겉절이,밑반찬,1,25,https://wtable.co.kr/recipes/7y1N3Pz6ErjAPa6zSX5fVd18?location=recipe_home,설탕 물엿 고춧가루 쪽파 참기름 다진마늘 통깨 알배추 멸치액젓 생강가루,10
무나물볶음,밑반찬,1,20,https://wtable.co.kr/recipes/TAGyEf4uC9HRAbcEi4xDHphQ?location=recipe_home,멸치다시마육수 생강즙 소금 식용유 무 참기름 다진마늘 통깨 다진파,10
마늘조림,밑반찬,1,30,https://wtable.co.kr/recipes/uhSsmgmVUTHnU5HvCLWKsPze?location=recipe_home,건고추 물 물엿 참기름 간장 마늘 올리브유 통깨 맛술,9
감자명란볶음,밑반찬,1,15,https://wtable.co.kr/recipes/mthNz57Uk8kp6tv1gWHjjUU2?location=recipe_home,감자 실파 소금 명란젓 참기름 마늘 올리브오일,7
오징어채간장볶음,밑반찬,1,20,https://wtable.co.kr/recipes/57vRvHJJ4Zw2xZxYkjDPx5is?location=recipe_home,진간장 식용유 마요네즈 오징어채 쪽파 올리고당 참기름 다진마늘 통깨 맛술,10
마늘종 고추장 무침,밑반찬,1,20,https://wtable.co.kr/recipes/HacYUvybqBRcfiGxGDAkj8Zc?location=recipe_home,마늘종 진간장 물 설탕 고춧가루 식초 고추장 참기름 매실청 통깨,10
표고버섯볶음,밑반찬,1,15,https://wtable.co.kr/recipes/rkFSS8rESKr12mLwrBUNcbYS?location=recipe_home,표고버섯 소금 청양고추 양파 당근 굴소스 참기름 다진마늘 간장 카놀라유 후춧가루 통깨,12
